id,iebc_ward_name,count,province,district,division,pcode,status,no,shape_type,status_1,created_at,updated_at,voided,county,constituency
413,Kahawa Wendan,1,Central,Thika,Ruiru,KE0414,,573,Polygon,spelling,2026-03-04 16:05:53.484241,2026-03-04 16:27:35.341469,f,,Ruiru
25,Amukura Central,5,Western,Teso,Amukura,KE0026,,1132,Polygon,,2026-03-04 16:05:49.9408,2026-03-04 16:27:31.79267,f,,Amukura
26,Amukura East,9,Western,Teso,Amukura,KE0027,,1131,Polygon,,2026-03-04 16:05:49.952879,2026-03-04 16:27:31.804977,f,,Amukura
27,Amukura West,6,Western,Teso,Amukura,KE0028,,1130,Polygon,,2026-03-04 16:05:49.966707,2026-03-04 16:27:31.813052,f,,Amukura
28,Angata Barikoi,5,Rift Valley,Transmara,Lolgorian,KE0029,,883,Polygon,done,2026-03-04 16:05:49.982267,2026-03-04 16:27:31.821963,f,,Lolgorian
29,Ang'orom,3,Western,Teso,Chakol,KE0030,,1127,Polygon,,2026-03-04 16:05:49.995769,2026-03-04 16:27:31.828946,f,,Chakol
30,Ang'urai East,7,Western,Teso,Ang'urai,KE0031,,1125,Polygon,spelling,2026-03-04 16:05:50.032218,2026-03-04 16:27:31.835815,f,,Ang'urai
31,Ang'urai North,8,Western,Teso,Ang'urai,KE0032,,1124,Polygon,,2026-03-04 16:05:50.04574,2026-03-04 16:27:31.842374,f,,Ang'urai
32,Ang'urai South,8,Western,Teso,Ang'urai,KE0033,,1123,Polygon,,2026-03-04 16:05:50.061345,2026-03-04 16:27:31.855337,f,,Ang'urai
39,Athi,9,Eastern,Kitui,Ikutha,KE0040,,370,Polygon,,2026-03-04 16:05:50.154434,2026-03-04 16:27:31.980853,f,Kitui,Ikutha
66,Batalu,2,North Eastern,Wajir,Buna,KE0067,,165,Polygon,,2026-03-04 16:05:50.76546,2026-03-04 16:27:32.109946,f,Wajir,Buna
98,Bukembe East,2,Western,Bungoma,Kanduyi,KE0099,,1097,Polygon,,2026-03-04 16:05:50.985583,2026-03-04 16:27:32.27702,f,Bungoma,Kanduyi
124,Butsotso East,3,Western,Kakamega,Lurambi,KE0125,,1009,Polygon,,2026-03-04 16:05:51.24201,2026-03-04 16:27:32.55262,f,Kakamega,Lurambi
125,Butsotso South,3,Western,Kakamega,Lurambi,KE0126,,1010,Polygon,,2026-03-04 16:05:51.24853,2026-03-04 16:27:32.56819,f,Kakamega,Lurambi
162,Chemundu/Kapng'entuny,3,Rift Valley,Nandi,Kapsabet,KE0163,,765,Polygon,spelling,2026-03-04 16:05:51.620636,2026-03-04 16:27:33.019061,f,Nandi,Kapsabet
191,Churo/Amaya,5,Rift Valley,Baringo,Tangulbei,KE0192,,787,Polygon,,2026-03-04 16:05:51.772772,2026-03-04 16:27:33.453338,f,Baringo,Tangulbei
227,East Wanga,3,Western,Kakamega,East Wanga,KE0228,,1026,Polygon,,2026-03-04 16:05:52.108768,2026-03-04 16:27:33.672617,f,Kakamega,East Wanga
247,Emsoo,6,Rift Valley,Elgeyo Marakwet,Tambach,KE0248,,742,Polygon,,2026-03-04 16:05:52.219146,2026-03-04 16:27:33.889449,f,Elgeyo Marakwet,Tambach
269,Ganyure,3,North Eastern,Wajir,Griftu,KE0270,,179,Polygon,spelling,2026-03-04 16:05:52.486331,2026-03-04 16:27:34.12,f,Wajir,Griftu
279,Gathanji,2,Central,Nyandarua,Ol Joro Orok,KE0280,,458,Polygon,,2026-03-04 16:05:52.538405,2026-03-04 16:27:34.195747,f,Nyandarua,Ol Joro Orok
320,Habaswein,6,North Eastern,Wajir,Habaswein,KE0321,,187,Polygon,spelling,2026-03-04 16:05:52.832302,2026-03-04 16:27:34.570175,f,Wajir,Habaswein
364,Imbirikani/Eselenkei,3,Rift Valley,Kajiado,Loitokitok,KE0365,,932,Polygon,spelling,2026-03-04 16:05:53.181323,2026-03-04 16:27:34.996543,f,Kajiado,Loitokitok
388,Kabarnet,10,Rift Valley,Baringo,Kabarnet,KE0389,,793,Polygon,,2026-03-04 16:05:53.304576,2026-03-04 16:27:35.237048,f,Baringo,Kabarnet
